문서종류,문서번호,제목,발송기관명,기안일시
일반,경주정보고등학교-10226,[전공심화동아리] 2024년 IT네트워크시스템 직종 교류평가전 실시,경주정보고등학교,2024-07-19 10:38
일반,경주정보고등학교-10311,[전공심화동아리] 전공심화동아리 게임개발-공개과제풀이 특강 실시,경주정보고등학교,2024-07-30 10:48
일반,경주정보고등학교-11033,[전공심화동아리] 전공심화동아리 게임개발-공개과제풀이 2차 특강 실시,경주정보고등학교,2024-08-13 10:12
발신,경주정보고등학교-11101,[전공심화동아리] 전공심화동아리 운영 자체 점검표 제출,경주정보고등학교,2024-08-20 13:33
일반,경주정보고등학교-11219,2024 경상북도 제59회 전국기능경기대회 학생 출전,경주정보고등학교,2024-08-21 13:30
발신,경주정보고등학교-11641,자율동아리(E-Sports) 운영을 위한 유해정보 차단 예외 신청서 및 보안서약서 제출,경주정보고등학교,2024-08-30 9:01
발신,경주정보고등학교-11642,전공심화동아리(게임개발) 운영을 위한 유해정보 차단 예외 신청서 및 보안서약서 제출,경주정보고등학교,2024-08-30 9:05
발신,경주정보고등학교-12182,전국기능경기대회 숙식지원비 및 훈련(재료)지원비 정산서 제출,경주정보고등학교,2024-09-09 10:26
일반,경주정보고등학교-12565,전공심화동아리(전국기능경기대회) 운영비 경정 요청,경주정보고등학교,2024-09-19 9:15
일반,경주정보고등학교-1311,지방기능경기대회대비 IT네트워크시스템 특강 실시,경주정보고등학교,2024-01-29 13:53
일반,경주정보고등학교-13158,[전공심화동아리] 전공심화동아리 10월 운영 계획,경주정보고등학교,2024-09-27 16:17
발신,경주정보고등학교-13430,2024 하반기 전공심화동아리 운영 현황 제출,경주정보고등학교,2024-10-07 10:53
일반,경주정보고등학교-13489,2024년 10차 산업교육과정 IT융합정보과 학생 현장체험학습 안전교육 실시,경주정보고등학교,2024-10-07 10:49
일반,경주정보고등학교-14098,2024년 10차 산업교육과정 현장체험학습 안전교육 실시(수정),경주정보고등학교,2024-10-17 11:41
일반,경주정보고등학교-14756,2024학년도 2학기 기말고사 결시학생 명단(IT융합정보과 3학년 1반),경주정보고등학교,2024-10-30 11:21
발신,경주정보고등학교-14809,지스타 2024 단체참관 신청,경주정보고등학교,2024-11-01 9:50
일반,경주정보고등학교-14830,[전공심화동아리] 전공심화동아리 11월 운영 계획,경주정보고등학교,2024-11-01 9:35
발신,경주정보고등학교-16059,전공심화동아리(게임개발) 운영을 위한 유해정보 차단 예외 신청서 및 보안서약서 제출,경주정보고등학교,2024-11-22 13:19
일반,경주정보고등학교-16346,[전공심화동아리] 전공심화동아리 12월 운영 계획,경주정보고등학교,2024-11-27 13:57
일반,경주정보고등학교-16611,2024년도 교육시설 이용자 만족도 조사 가정통신문 안내,경주정보고등학교,2024-12-03 10:16
발신,경주정보고등학교-1664,보조사업실적 보고서(전공심화동아리 기자재 구입) 제출,경주정보고등학교,2024-02-07 12:33
일반,경주정보고등학교-1666,전공심화 동아리(24년 2월) 운영계획,경주정보고등학교,2024-02-07 12:04
일반,경주정보고등학교-17405,기능올림픽대회 기초합동교육(IT네트워크시스템 직종) 학생 참가,경주정보고등학교,2024-12-17 8:34
일반,경주정보고등학교-1755,전공심화동아리 실습용 장비 업그레이드 부품 구입,경주정보고등학교,2024-02-15 9:08
일반,경주정보고등학교-1764,[결재취소]전공심화동아리 실습용 장비 업그레이드 부품 구입,경주정보고등학교,2024-02-15 13:24
일반,경주정보고등학교-1778,전공심화동아리 실습용 장비 업그레이드 부품 구입,경주정보고등학교,2024-02-15 13:28
발신,경주정보고등학교-2119,2023년 하반기 전공심화동아리 운영비 보조사업실적 보고서 제출,경주정보고등학교,2024-02-22 10:44
발신,경주정보고등학교-2363,2024 전공심화동아리(기능경기대회) 운영 현황 제출,경주정보고등학교,2024-02-27 14:33
일반,경주정보고등학교-2454,전공심화 동아리 3월 운영계획,경주정보고등학교,2024-02-28 11:38
일반,경주정보고등학교-3810,전공심화동아리 4월 운영 계획(지방기능경기대회 출전),경주정보고등학교,2024-03-21 15:02
일반,경주정보고등학교-3941,2024년 미디어교육 운영학교 운영 계획,경주정보고등학교,2024-03-26 12:13
일반,경주정보고등학교-4000,2024년 경상북도 지방기능경기대회 출전,경주정보고등학교,2024-03-26 16:59
발신,경주정보고등학교-4142,제3회 학생 SW-AI 인재 양성 프로젝트 신청,경주정보고등학교,2024-03-29 15:40
일반,경주정보고등학교-4850,[제출] 2024년 1월 SW-AI교육 특수분야 연수 경비 지원 신청서,경주정보고등학교,2024-04-12 12:31
발신,경주정보고등학교-5033,자율동아리(E-Sports) 운영을 위한 유해정보 차단 예외 신청서 및 보안서약서 제출,경주정보고등학교,2024-04-16 14:20
일반,경주정보고등학교-5034,경상북도교육청 디지털지식마루 이용 및 이벤트 안내 가정통신문,경주정보고등학교,2024-04-16 14:04
일반,경주정보고등학교-5865,전공심화동아리 5월 운영 계획(전국기능경기대회 준비),경주정보고등학교,2024-04-30 15:18
일반,경주정보고등학교-5916,SW-AI교육 역량강화 연수 경비 지원 신청,경주정보고등학교,2024-05-03 10:47
수신,경주정보고등학교-599,[알림] 2024 상반기 전공심화동아리(기능경기대회) 현장 점검 실시,경상북도교육청 창의인재과,2024-01-15 16:02
발신,경주정보고등학교-6032,전공심화동아리 운영을 위한 유해정보 차단 예외 신청서 및 보안서약서 제출,경주정보고등학교,2024-05-08 8:37
일반,경주정보고등학교-6198,2024년 전국기능경기대회 대비를 위한 장비 구입,경주정보고등학교,2024-05-09 11:05
일반,경주정보고등학교-6281,[자료집계] 2024년 1월 SW-AI교육 연수 경비 지원 결과 보고서 제출,경주정보고등학교,2024-05-10 15:46
일반,경주정보고등학교-6325,2024년 전국기능경기대회 대비를 위한 장비 구입(추가),경주정보고등학교,2024-05-10 16:02
일반,경주정보고등학교-72,기능경기대회 IT네트워크시스템 직종 기초교육과정 신청,경주정보고등학교,2023-12-29 13:42
일반,경주정보고등학교-7259,[전공심화동아리] 전공심화동아리 6월 운영 계획,경주정보고등학교,2024-05-30 16:22
일반,경주정보고등학교-7263,[전공심화동아리] 2024 전국기능경기대회 대비 IT네트워크시스템 특강 실시,경주정보고등학교,2024-05-30 16:07
발신,경주정보고등학교-7306,[제출] 2024학년도 한국기술교육대학교 능력개발교육원 하계 현장기술연수 신청,경주정보고등학교,2024-06-03 16:37
일반,경주정보고등학교-7933,[전공심화동아리] 2024 전국기능경기대회 대비 게임개발 특강 실시,경주정보고등학교,2024-06-13 9:54
일반,경주정보고등학교-8191,[전공심화동아리] 전공심화동아리 실습용장비 구입,경주정보고등학교,2024-06-17 15:51
발신,경주정보고등학교-8418,[전공심화동아리]2024년 전공심화동아리(전국기능경기대회) 훈련비 신청,경주정보고등학교,2024-06-24 15:27
일반,경주정보고등학교-8427,[제출] 중등SW-AI교육담당교원역량강화직무연수2기 신청,경주정보고등학교,2024-06-24 13:16
일반,경주정보고등학교-859,학생 취업 실시(13),경주정보고등학교,2024-01-12 15:56
일반,경주정보고등학교-8969,[전공심화동아리] 전공심화동아리 7월 운영 계획,경주정보고등학교,2024-06-28 15:40
일반,경주정보고등학교-9359,[전공심화동아리] 전국기능경기대회 준비를 위한 훈련재료 구입,경주정보고등학교,2024-07-09 11:15
일반,경주정보고등학교-9800,[서식집계]2024년 상반기 SW-AI교육 직무연수 경비 지원 신청서 제출,경주정보고등학교,2024-07-16 16:06
일반,경주정보고등학교-9940,[전공심화동아리] 전공심화동아리 8월 운영 계획,경주정보고등학교,2024-07-18 15:14
